County,State,None,D0,D1,D2,D3,D4
Lincoln County,WY,50.0322641509434,49.9677358490566,30.024716981132073,7.713207547169811,0.0,0.0
Lincoln Parish,LA,58.91320754716981,41.08679245283019,37.044716981132076,30.395849056603772,23.97867924528302,0.0
Linn County,IA,26.94622641509434,73.05377358490566,54.716981132075475,45.3577358490566,33.658490566037734,2.8735849056603775
Linn County,KS,21.11056603773585,78.88943396226416,61.012830188679246,30.295849056603775,1.040566037735849,0.0
Linn County,MO,20.970188679245286,79.02981132075472,43.03471698113208,15.196603773584904,3.9035849056603777,0.0
Linn County,OR,1.8516981132075472,98.14830188679245,70.88773584905661,32.244528301886795,4.822264150943396,0.0
Lipscomb County,TX,44.92962264150943,55.07037735849057,49.03094339622641,46.25679245283019,33.88377358490566,6.400754716981132
Little River County,AR,86.53018867924528,13.469811320754717,2.2215094339622645,0.010377358490566039,0.0,0.0
Live Oak County,TX,28.376037735849057,71.62396226415095,45.29773584905661,25.78377358490566,3.8154716981132077,0.0
Livingston County,IL,52.333207547169806,47.666792452830194,20.115283018867924,8.818679245283018,0.0,0.0
Livingston County,KY,65.73,34.269999999999996,9.672830188679244,0.9894339622641509,0.0,0.0
Livingston County,MI,52.91962264150943,47.08037735849057,31.921886792452828,16.9811320754717,0.0,0.0
Livingston County,MO,29.623962264150943,70.37603773584905,43.40641509433962,14.757924528301887,1.5211320754716982,0.0
Livingston County,NY,44.303396226415096,55.696603773584904,26.84245283018868,6.836981132075472,0.0,0.0
Livingston Parish,LA,31.674339622641508,68.32566037735849,39.388679245283015,36.3577358490566,31.076792452830187,23.317358490566036
Llano County,TX,0.0,100.0,100.0,74.3011320754717,40.31603773584906,12.661886792452831
Logan County,AR,71.62943396226416,28.370566037735852,1.6639622641509433,0.0,0.0,0.0
Logan County,CO,46.37679245283019,53.62320754716981,38.57641509433962,6.909245283018868,0.2971698113207547,0.0
Logan County,IL,56.34905660377358,43.65094339622642,21.469056603773584,5.692452830188679,0.0,0.0
Logan County,KS,23.05264150943396,76.94735849056603,53.865660377358495,47.93584905660377,40.7366037735849,18.491132075471697
Logan County,KY,82.56283018867924,17.437169811320754,1.8120754716981131,0.0,0.0,0.0
Logan County,ND,65.88566037735849,34.11433962264151,17.856792452830188,0.0,0.0,0.0
Logan County,NE,15.670188679245282,84.32981132075471,75.84754716981132,61.93830188679245,6.645283018867924,0.0
Logan County,OH,58.754150943396226,41.245849056603774,13.008490566037736,0.0,0.0,0.0
Logan County,OK,31.914716981132077,68.08528301886793,53.075471698113205,38.17566037735849,32.534905660377355,0.0
Logan County,WV,85.21245283018868,14.78754716981132,0.0,0.0,0.0,0.0
Loiza Municipio,PR,73.14150943396227,26.858490566037737,9.433962264150944,0.0,0.0,0.0
